Uptime [s];GNSS: PPS Timestamp [s];GNSS: UTC date time (ISO 8601);GNSS: Fix type (0=no fix, others=fix);GNSS: Latitude [degrees];GNSS: Longitude [degrees];GNSS: Positional dilution of precision;GNSS: Altitude [m] (above Mean Sea Level);GNSS: Ground speed [km/h];GNSS: Satellites in view;GNSS: Altitude [m] (above ellipsoid);Temperature: Board [degC];Temperature: Ext LM75 1 [degC];Temperature: Ext MS8607 1 [degC];Pressure: Ext MS8607 [hPa];Humidity: Ext MS8607 [%];Light Intensity: Clear [lx];Light Intensity: Red [lx];Light Intensity: Green [lx];Light Intensity: Blue [lx];Light Intensity: Infrared [lx];Volt: Supply Voltage [V];Volt: 3.3V board voltage [V];Volt: 5V board voltage [V];Volt: Vin1 voltage [V];Volt: Vin2 voltage [V];Volt: Vin3 voltage [V];IO: In 1 State;IO: In 1 Timestamp [s];IO: In 2 State;IO: In 2 Timestamp [s];IO: Out 1 State;IO: Out 1 Timestamp [s];IO: Out 2 State;IO: Out 2 Timestamp [s]
6.307;0.000;2015-10-18T00:00:06.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;33.6;34.5;33.0;975.8;31.70;25165;25165;25165;25165;14537;8.85;3.29;5.02;0.006;0.006;0.000;1;0.000;1;0.000;0;0.002;0;0.002
8.307;0.000;2015-10-18T00:00:08.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;33.6;34.6;33.1;975.6;31.04;25165;3330;25165;25165;7149;8.85;3.29;5.02;0.006;0.009;0.000;1;0.000;1;0.000;0;0.002;0;0.002
10.310;0.000;2015-10-18T00:00:10.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;33.6;34.5;33.1;975.7;31.91;25165;25165;25165;25165;25165;8.85;3.29;5.02;0.006;0.010;0.000;1;0.000;1;0.000;0;0.002;0;0.002
12.310;0.000;2015-10-18T00:00:12.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;33.6;34.6;33.1;975.7;34.34;25165;25165;25165;25165;25165;8.84;3.29;5.01;0.006;0.012;0.000;1;0.000;1;0.000;0;0.002;0;0.002
14.310;0.000;2015-10-18T13:43:48.226Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;33.6;35.1;33.3;975.2;34.30;25165;15371;855;16082;129;8.83;3.29;5.02;0.006;0.013;0.000;1;0.000;1;0.000;0;0.002;0;0.002
16.309;0.000;2015-10-18T13:43:48.226Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;33.6;34.5;33.1;975.8;31.71;25165;25165;25165;25165;25165;8.84;3.29;5.02;0.006;0.016;0.000;1;0.000;1;0.000;0;0.002;0;0.002
18.309;0.000;2015-10-18T13:43:48.226Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;33.6;35.0;33.2;975.7;31.18;25165;19701;5972;19425;10852;8.83;3.29;5.02;0.007;0.016;0.001;1;0.000;1;0.000;0;0.002;0;0.002
20.310;0.000;2015-10-18T13:43:48.226Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;33.6;34.6;33.1;975.7;30.53;25165;5924;9484;7016;18609;8.83;3.29;5.01;0.006;0.019;0.003;1;0.000;1;0.000;0;0.002;0;0.002
22.309;0.000;2015-10-18T13:43:48.226Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;33.6;34.6;33.0;975.2;30.01;276;2772;6718;14279;3564;8.84;3.29;5.02;0.006;0.020;0.003;1;0.000;1;0.000;0;0.002;0;0.002
24.309;0.000;2023-07-02T13:43:58.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;33.6;34.6;32.8;975.7;35.24;25165;25165;25165;25165;25165;8.83;3.29;5.02;0.006;0.022;0.003;1;0.000;1;0.000;0;0.002;0;0.002
